Descriptor,Enzyme,model,scaler,split,Accuracy,C,degree,kernel
ECFP4,IN,svc,std,4,0.8624361158432708,1.0,5,poly
ECFP4,IN,svc,std,4,0.9442078364565588,2.0,3,poly
ECFP4,IN,svc,std,4,0.9540034071550256,2.0,0,rbf
ECFP4,IN,svc,std,4,0.8479557069846678,2.0,0,sigmoid
ECFP4,IN,svc,std,4,0.9254684838160137,2.0,4,poly
ECFP4,IN,svc,std,4,0.9050255536626916,2.0,5,poly
ECFP4,IN,svc,std,4,0.9484667802385008,8.0,3,poly
ECFP4,IN,svc,std,4,0.9565587734241908,8.0,0,rbf
ECFP4,IN,svc,std,4,0.8198466780238501,8.0,0,sigmoid
ECFP4,IN,svc,std,4,0.9369676320272572,8.0,4,poly
ECFP4,IN,svc,std,4,0.9254684838160137,8.0,5,poly
ECFP4,IN,svc,minmax,1,0.8343270868824532,0.2,3,poly
ECFP4,IN,svc,minmax,1,0.8654173764906303,0.2,0,rbf
ECFP4,IN,svc,minmax,1,0.8287904599659285,0.2,0,sigmoid
ECFP4,IN,svc,minmax,1,0.8015332197614992,0.2,4,poly
ECFP4,IN,svc,minmax,1,0.780664395229983,0.2,5,poly
ECFP4,IN,svc,minmax,1,0.9356899488926746,1.0,3,poly
ECFP4,IN,svc,minmax,1,0.9382453151618398,1.0,0,rbf
ECFP4,IN,svc,minmax,1,0.8394378194207837,1.0,0,sigmoid
ECFP4,IN,svc,minmax,1,0.9246166950596252,1.0,4,poly
ECFP4,IN,svc,minmax,1,0.9101362862010222,1.0,5,poly
ECFP4,IN,svc,minmax,1,0.9540034071550256,2.0,3,poly
ECFP4,IN,svc,minmax,1,0.9574105621805792,2.0,0,rbf
ECFP4,IN,svc,minmax,1,0.8164395229982965,2.0,0,sigmoid
ECFP4,IN,svc,minmax,1,0.9459114139693356,2.0,4,poly
ECFP4,IN,svc,minmax,1,0.9305792163543442,2.0,5,poly
ECFP4,IN,svc,minmax,1,0.9625212947189096,8.0,3,poly
ECFP4,IN,svc,minmax,1,0.9642248722316864,8.0,0,rbf
ECFP4,IN,svc,minmax,1,0.7857751277683135,8.0,0,sigmoid
ECFP4,IN,svc,minmax,1,0.956984667802385,8.0,4,poly
ECFP4,IN,svc,minmax,1,0.946763202725724,8.0,5,poly
ECFP4,IN,svc,minmax,2,0.838160136286201,0.2,3,poly
ECFP4,IN,svc,minmax,2,0.8556218057921635,0.2,0,rbf
ECFP4,IN,svc,minmax,2,0.8206984667802385,0.2,0,sigmoid
ECFP4,IN,svc,minmax,2,0.8121805792163543,0.2,4,poly
ECFP4,IN,svc,minmax,2,0.7802385008517888,0.2,5,poly
ECFP4,IN,svc,minmax,2,0.9412265758091992,1.0,3,poly
ECFP4,IN,svc,minmax,2,0.9378194207836456,1.0,0,rbf
ECFP4,IN,svc,minmax,2,0.8343270868824532,1.0,0,sigmoid
ECFP4,IN,svc,minmax,2,0.9258943781942078,1.0,4,poly
ECFP4,IN,svc,minmax,2,0.9054514480408858,1.0,5,poly
ECFP4,IN,svc,minmax,2,0.9574105621805792,2.0,3,poly
ECFP4,IN,svc,minmax,2,0.959114139693356,2.0,0,rbf
ECFP4,IN,svc,minmax,2,0.8194207836456558,2.0,0,sigmoid
ECFP4,IN,svc,minmax,2,0.9442078364565588,2.0,4,poly
ECFP4,IN,svc,minmax,2,0.9335604770017036,2.0,5,poly
ECFP4,IN,svc,minmax,2,0.9676320272572402,8.0,3,poly
ECFP4,IN,svc,minmax,2,0.9663543441226576,8.0,0,rbf
ECFP4,IN,svc,minmax,2,0.782793867120954,8.0,0,sigmoid
ECFP4,IN,svc,minmax,2,0.9608177172061328,8.0,4,poly
ECFP4,IN,svc,minmax,2,0.9501703577512776,8.0,5,poly
ECFP4,IN,svc,minmax,3,0.8283645655877342,0.2,3,poly
ECFP4,IN,svc,minmax,3,0.8547700170357752,0.2,0,rbf
ECFP4,IN,svc,minmax,3,0.8168654173764907,0.2,0,sigmoid
ECFP4,IN,svc,minmax,3,0.8006814310051107,0.2,4,poly
ECFP4,IN,svc,minmax,3,0.7776831345826235,0.2,5,poly
ECFP4,IN,svc,minmax,3,0.9429301533219762,1.0,3,poly
ECFP4,IN,svc,minmax,3,0.9403747870528107,1.0,0,rbf
ECFP4,IN,svc,minmax,3,0.8296422487223168,1.0,0,sigmoid
ECFP4,IN,svc,minmax,3,0.9267461669505964,1.0,4,poly
ECFP4,IN,svc,minmax,3,0.9080068143100511,1.0,5,poly
ECFP4,IN,svc,minmax,3,0.9608177172061328,2.0,3,poly
ECFP4,IN,svc,minmax,3,0.9599659284497444,2.0,0,rbf
ECFP4,IN,svc,minmax,3,0.8181431005110733,2.0,0,sigmoid
ECFP4,IN,svc,minmax,3,0.948892674616695,2.0,4,poly
ECFP4,IN,svc,minmax,3,0.9327086882453152,2.0,5,poly
ECFP4,IN,svc,minmax,3,0.9646507666098808,8.0,3,poly
ECFP4,IN,svc,minmax,3,0.9625212947189096,8.0,0,rbf
ECFP4,IN,svc,minmax,3,0.782793867120954,8.0,0,sigmoid
ECFP4,IN,svc,minmax,3,0.962947189097104,8.0,4,poly
ECFP4,IN,svc,minmax,3,0.9561328790459966,8.0,5,poly
ECFP4,IN,svc,minmax,4,0.8398637137989778,0.2,3,poly
ECFP4,IN,svc,minmax,4,0.8577512776831345,0.2,0,rbf
ECFP4,IN,svc,minmax,4,0.8143100511073254,0.2,0,sigmoid
ECFP4,IN,svc,minmax,4,0.8181431005110733,0.2,4,poly
ECFP4,IN,svc,minmax,4,0.7913117546848382,0.2,5,poly
ECFP4,IN,svc,minmax,4,0.9318568994889268,1.0,3,poly
ECFP4,IN,svc,minmax,4,0.934412265758092,1.0,0,rbf
ECFP4,IN,svc,minmax,4,0.838160136286201,1.0,0,sigmoid
ECFP4,IN,svc,minmax,4,0.917802385008518,1.0,4,poly
ECFP4,IN,svc,minmax,4,0.899488926746167,1.0,5,poly
ECFP4,IN,svc,minmax,4,0.9476149914821124,2.0,3,poly
ECFP4,IN,svc,minmax,4,0.9518739352640544,2.0,0,rbf
ECFP4,IN,svc,minmax,4,0.817717206132879,2.0,0,sigmoid
ECFP4,IN,svc,minmax,4,0.9395229982964224,2.0,4,poly
ECFP4,IN,svc,minmax,4,0.9237649063032368,2.0,5,poly
ECFP4,IN,svc,minmax,4,0.9574105621805792,8.0,3,poly
ECFP4,IN,svc,minmax,4,0.9582623509369677,8.0,0,rbf
ECFP4,IN,svc,minmax,4,0.7832197614991482,8.0,0,sigmoid
ECFP4,IN,svc,minmax,4,0.9522998296422488,8.0,4,poly
ECFP4,IN,svc,minmax,4,0.9442078364565588,8.0,5,poly
MIX,IN,svc,std,1,0.5975298126064736,0.2,3,poly
MIX,IN,svc,std,1,0.8458262350936968,0.2,0,rbf
MIX,IN,svc,std,1,0.8390119250425895,0.2,0,sigmoid
MIX,IN,svc,std,1,0.5919931856899489,0.2,4,poly
MIX,IN,svc,std,1,0.5915672913117547,0.2,5,poly
MIX,IN,svc,std,1,0.9126916524701874,1.0,3,poly
MIX,IN,svc,std,1,0.942504258943782,1.0,0,rbf
MIX,IN,svc,std,1,0.8407155025553663,1.0,0,sigmoid
MIX,IN,svc,std,1,0.838160136286201,1.0,4,poly
MIX,IN,svc,std,1,0.7717206132879046,1.0,5,poly
MIX,IN,svc,std,1,0.9408006814310051,2.0,3,poly
MIX,IN,svc,std,1,0.9552810902896082,2.0,0,rbf
MIX,IN,svc,std,1,0.8249574105621805,2.0,0,sigmoid
MIX,IN,svc,std,1,0.9186541737649064,2.0,4,poly
MIX,IN,svc,std,1,0.8705281090289608,2.0,5,poly
MIX,IN,svc,std,1,0.9518739352640544,8.0,3,poly
MIX,IN,svc,std,1,0.9612436115843273,8.0,0,rbf
MIX,IN,svc,std,1,0.8006814310051107,8.0,0,sigmoid
MIX,IN,svc,std,1,0.9408006814310051,8.0,4,poly
MIX,IN,svc,std,1,0.9305792163543442,8.0,5,poly
MIX,IN,svc,std,2,0.6081771720613288,0.2,3,poly
MIX,IN,svc,std,2,0.8368824531516184,0.2,0,rbf
MIX,IN,svc,std,2,0.8330494037478705,0.2,0,sigmoid
MIX,IN,svc,std,2,0.5924190800681431,0.2,4,poly
MIX,IN,svc,std,2,0.5919931856899489,0.2,5,poly
MIX,IN,svc,std,2,0.9105621805792165,1.0,3,poly
MIX,IN,svc,std,2,0.9361158432708688,1.0,0,rbf
MIX,IN,svc,std,2,0.8539182282793867,1.0,0,sigmoid
MIX,IN,svc,std,2,0.8458262350936968,1.0,4,poly
MIX,IN,svc,std,2,0.7879045996592845,1.0,5,poly
MIX,IN,svc,std,2,0.9395229982964224,2.0,3,poly
MIX,IN,svc,std,2,0.9497444633730836,2.0,0,rbf
MIX,IN,svc,std,2,0.8334752981260647,2.0,0,sigmoid
MIX,IN,svc,std,2,0.9190800681431004,2.0,4,poly
MIX,IN,svc,std,2,0.8794718909710392,2.0,5,poly
MIX,IN,svc,std,2,0.9476149914821124,8.0,3,poly
MIX,IN,svc,std,2,0.9561328790459966,8.0,0,rbf
MIX,IN,svc,std,2,0.8126064735945485,8.0,0,sigmoid
MIX,IN,svc,std,2,0.9382453151618398,8.0,4,poly
MIX,IN,svc,std,2,0.9271720613287904,8.0,5,poly
MIX,IN,svc,std,3,0.59412265758092,0.2,3,poly
MIX,IN,svc,std,3,0.8330494037478705,0.2,0,rbf
MIX,IN,svc,std,3,0.817717206132879,0.2,0,sigmoid
MIX,IN,svc,std,3,0.5873083475298126,0.2,4,poly
MIX,IN,svc,std,3,0.5890119250425895,0.2,5,poly
MIX,IN,svc,std,3,0.9011925042589438,1.0,3,poly
MIX,IN,svc,std,3,0.9382453151618398,1.0,0,rbf
MIX,IN,svc,std,3,0.8364565587734242,1.0,0,sigmoid
MIX,IN,svc,std,3,0.8121805792163543,1.0,4,poly
MIX,IN,svc,std,3,0.7342419080068143,1.0,5,poly
MIX,IN,svc,std,3,0.9420783645655876,2.0,3,poly
MIX,IN,svc,std,3,0.9557069846678024,2.0,0,rbf
MIX,IN,svc,std,3,0.8245315161839863,2.0,0,sigmoid
MIX,IN,svc,std,3,0.9071550255536628,2.0,4,poly
MIX,IN,svc,std,3,0.8479557069846678,2.0,5,poly
MIX,IN,svc,std,3,0.9578364565587736,8.0,3,poly
MIX,IN,svc,std,3,0.9616695059625212,8.0,0,rbf
MIX,IN,svc,std,3,0.7989778534923339,8.0,0,sigmoid
MIX,IN,svc,std,3,0.9429301533219762,8.0,4,poly
MIX,IN,svc,std,3,0.9271720613287904,8.0,5,poly
MIX,IN,svc,std,4,0.600511073253833,0.2,3,poly
MIX,IN,svc,std,4,0.848381601362862,0.2,0,rbf
MIX,IN,svc,std,4,0.8330494037478705,0.2,0,sigmoid
MIX,IN,svc,std,4,0.5885860306643952,0.2,4,poly
MIX,IN,svc,std,4,0.588160136286201,0.2,5,poly
MIX,IN,svc,std,4,0.9114139693356048,1.0,3,poly
MIX,IN,svc,std,4,0.946763202725724,1.0,0,rbf
MIX,IN,svc,std,4,0.8496592844974447,1.0,0,sigmoid
MIX,IN,svc,std,4,0.8266609880749574,1.0,4,poly
MIX,IN,svc,std,4,0.760221465076661,1.0,5,poly
MIX,IN,svc,std,4,0.9501703577512776,2.0,3,poly
MIX,IN,svc,std,4,0.9586882453151618,2.0,0,rbf
MIX,IN,svc,std,4,0.8270868824531517,2.0,0,sigmoid
MIX,IN,svc,std,4,0.916098807495741,2.0,4,poly
MIX,IN,svc,std,4,0.860732538330494,2.0,5,poly
MIX,IN,svc,std,4,0.9599659284497444,8.0,3,poly
MIX,IN,svc,std,4,0.9616695059625212,8.0,0,rbf
MIX,IN,svc,std,4,0.8049403747870528,8.0,0,sigmoid
MIX,IN,svc,std,4,0.942504258943782,8.0,4,poly
MIX,IN,svc,std,4,0.93015332197615,8.0,5,poly
MIX,IN,svc,minmax,1,0.8394378194207837,0.2,3,poly
MIX,IN,svc,minmax,1,0.862862010221465,0.2,0,rbf
MIX,IN,svc,minmax,1,0.8198466780238501,0.2,0,sigmoid
MIX,IN,svc,minmax,1,0.8126064735945485,0.2,4,poly
MIX,IN,svc,minmax,1,0.7917376490630323,0.2,5,poly
MIX,IN,svc,minmax,1,0.934412265758092,1.0,3,poly
MIX,IN,svc,minmax,1,0.9412265758091992,1.0,0,rbf
MIX,IN,svc,minmax,1,0.8415672913117547,1.0,0,sigmoid
