model,Descriptor,Enzyme,scaler,split,Accuracy,algorithm,n_neighbors,weights
knn,ECFP4,HIV-1 IN,std,2,0.9561328790459966,kd_tree,10,distance
knn,ECFP4,HIV-1 IN,std,2,0.9122657580919932,brute,5,uniform
knn,ECFP4,HIV-1 IN,std,2,0.959114139693356,brute,5,distance
knn,ECFP4,HIV-1 IN,std,2,0.8948040885860307,brute,6,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9608177172061328,brute,6,distance
knn,ECFP4,HIV-1 IN,std,2,0.9041737649063032,brute,7,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9599659284497444,brute,7,distance
knn,ECFP4,HIV-1 IN,std,2,0.8747870528109029,brute,10,uniform
knn,ECFP4,HIV-1 IN,std,2,0.9561328790459966,brute,10,distance
knn,ECFP4,HIV-1 IN,std,3,0.901618398637138,auto,5,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9561328790459966,auto,5,distance
knn,ECFP4,HIV-1 IN,std,3,0.8918228279386712,auto,6,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9552810902896082,auto,6,distance
knn,ECFP4,HIV-1 IN,std,3,0.8905451448040886,auto,7,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9501703577512776,auto,7,distance
knn,ECFP4,HIV-1 IN,std,3,0.8752129471890971,auto,10,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9480408858603068,auto,10,distance
knn,ECFP4,HIV-1 IN,std,3,0.901618398637138,ball_tree,5,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9565587734241908,ball_tree,5,distance
knn,ECFP4,HIV-1 IN,std,3,0.8918228279386712,ball_tree,6,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9557069846678024,ball_tree,6,distance
knn,ECFP4,HIV-1 IN,std,3,0.8905451448040886,ball_tree,7,uniform
knn,ECFP4,HIV-1 IN,std,3,0.950596252129472,ball_tree,7,distance
knn,ECFP4,HIV-1 IN,std,3,0.8752129471890971,ball_tree,10,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9484667802385008,ball_tree,10,distance
knn,ECFP4,HIV-1 IN,std,3,0.9011925042589438,kd_tree,5,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9565587734241908,kd_tree,5,distance
knn,ECFP4,HIV-1 IN,std,3,0.8918228279386712,kd_tree,6,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9557069846678024,kd_tree,6,distance
knn,ECFP4,HIV-1 IN,std,3,0.8905451448040886,kd_tree,7,uniform
knn,ECFP4,HIV-1 IN,std,3,0.950596252129472,kd_tree,7,distance
knn,ECFP4,HIV-1 IN,std,3,0.8752129471890971,kd_tree,10,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9484667802385008,kd_tree,10,distance
knn,ECFP4,HIV-1 IN,std,3,0.901618398637138,brute,5,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9561328790459966,brute,5,distance
knn,ECFP4,HIV-1 IN,std,3,0.8918228279386712,brute,6,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9552810902896082,brute,6,distance
knn,ECFP4,HIV-1 IN,std,3,0.8905451448040886,brute,7,uniform
knn,ECFP4,HIV-1 IN,std,3,0.9501703577512776,brute,7,distance
